user_id,home_lat,home_lon,office_lat,office_lon,commute_time,commute_time_minutes,commute_duration_min,dist_home_office_km,overlap_score,time_diff_minutes,accepted,past_acceptance_rate,optimal_notify_minutes,optimal_notify_time,day_of_week,response_time_lag_min
U00000,28.771499,76.951256,28.74595,77.017253,09:41,581,59,7.02,0.1689,8,1,0.5101,487,08:07,2,5.2
U00001,28.610662,77.178093,28.741394,76.892432,09:15,555,69,31.392,0.2897,3,1,0.5257,463,07:43,6,1.8
U00002,28.812127,77.231099,28.497294,76.994055,07:47,467,21,41.866,0.1942,10,1,0.3358,408,06:48,0,14.4
U00003,28.734737,76.924984,28.417595,77.25142,08:57,537,89,47.421,0.7893,1,1,0.6792,475,07:55,2,2.1
U00004,28.445205,76.862368,28.545824,77.091675,09:28,568,60,25.012,0.7251,26,0,0.4882,525,08:45,5,1.0
U00005,28.868299,77.06419,28.475425,76.927502,07:29,449,61,45.588,0.3044,9,0,0.3932,392,06:32,1,9.5
U00006,28.765347,77.234752,28.589978,76.999443,07:39,459,81,30.053,0.0543,30,0,0.2754,429,07:09,0,1.2
U00007,28.777311,77.171898,28.870086,77.326326,07:09,429,51,18.215,0.1687,16,1,0.3619,360,06:00,2,7.5
U00008,28.461495,77.19796,28.486914,77.060298,08:50,530,17,13.727,0.6299,5,0,0.6722,460,07:40,0,1.3
U00009,28.616185,77.045448,28.553059,77.065216,08:33,513,24,7.267,0.0904,6,1,0.4927,433,07:13,2,5.1
U00010,28.577983,76.959822,28.748055,76.918065,08:40,520,86,19.312,0.5365,11,1,0.5392,404,06:44,4,8.3
U00011,28.844847,77.111207,28.644408,76.995323,08:50,530,89,24.939,0.6129,1,0,0.6954,474,07:54,4,9.4
U00012,28.709055,76.944227,28.421086,77.25549,08:22,502,21,44.046,0.6878,12,0,0.5966,470,07:50,4,14.7
U00013,28.794926,77.210377,28.477611,77.240961,08:45,525,66,35.347,0.1254,11,1,0.4681,468,07:48,3,8.0
U00014,28.612839,76.940453,28.84892,77.062104,07:39,459,64,28.762,0.4597,20,0,0.4762,404,06:44,4,8.5
U00015,28.509075,76.988544,28.449519,77.295763,08:56,536,27,30.687,0.4634,11,1,0.5302,469,07:49,1,6.8
U00016,28.666201,77.098338,28.704845,77.033932,07:28,448,74,7.599,0.8353,16,0,0.6746,360,06:00,0,12.6
U00017,28.430632,77.088222,28.780316,77.280808,08:55,535,49,43.128,0.4687,4,1,0.4858,416,06:56,4,2.3
U00018,28.797263,77.146433,28.527411,76.856098,07:28,448,32,41.168,0.4068,27,1,0.4236,365,06:05,1,5.8
U00019,28.703199,77.063097,28.748037,77.017087,07:31,451,57,6.696,0.1235,4,1,0.4413,360,06:00,2,8.0
U00020,28.763882,77.308931,28.48155,77.276085,08:40,520,82,31.501,0.6945,6,0,0.6708,472,07:52,3,3.5
U00021,28.570172,77.268366,28.53668,77.299668,07:59,479,31,4.81,0.6198,12,1,0.6948,423,07:03,0,15.0
U00022,28.865935,77.288348,28.549675,77.225776,08:23,503,61,35.628,0.7169,13,1,0.5949,396,06:36,5,9.6
U00023,28.828698,77.161053,28.878289,77.181632,09:47,587,69,5.857,0.6563,10,1,0.7058,531,08:51,4,1.9
U00024,28.773624,77.163854,28.502995,77.255908,09:27,567,61,31.347,0.8753,2,0,0.7982,510,08:30,3,10.0
U00025,28.493427,77.150691,28.46202,77.200855,08:23,503,63,6.008,0.8773,0,1,0.8765,394,06:34,1,14.6
U00026,28.624026,77.061791,28.844332,76.969653,10:08,608,69,26.05,0.3077,2,0,0.6507,508,08:28,1,4.4
U00027,28.421026,77.004274,28.477727,77.077781,08:08,488,32,9.545,0.1824,0,0,0.6438,391,06:31,0,14.8
U00028,28.474059,77.141921,28.822054,77.17696,07:54,474,22,38.778,0.9265,19,1,0.6203,382,06:22,1,9.3
U00029,28.727863,76.853021,28.712219,77.139779,07:50,470,89,27.966,0.713,6,0,0.7832,385,06:25,4,9.0
U00030,28.757486,76.843803,28.676894,77.2914,07:25,445,38,44.465,0.971,1,1,0.8677,370,06:10,6,14.0
U00031,28.864405,77.274337,28.760643,77.081661,07:29,449,86,21.988,0.497,21,1,0.5206,360,06:00,1,9.0
U00032,28.556396,76.863676,28.748479,76.930774,09:29,569,35,22.302,0.9622,10,1,0.8323,546,09:06,5,10.0
U00033,28.577821,77.107646,28.453053,76.949437,08:33,513,34,20.728,0.1227,22,1,0.3559,488,08:08,0,8.5
U00034,28.625387,77.153644,28.879744,77.271489,08:18,498,16,30.479,0.5904,21,0,0.6164,392,06:32,0,1.0
U00035,28.490946,76.941067,28.852107,76.844448,08:21,501,48,41.182,0.4967,5,1,0.5034,472,07:52,1,10.1
U00036,28.462362,77.296823,28.830364,77.283256,07:22,442,85,40.87,0.0026,31,1,0.2101,360,06:00,3,9.3
U00037,28.628338,76.936949,28.698699,76.86835,09:23,563,82,10.279,0.1929,11,0,0.5633,512,08:32,0,6.1
U00038,28.508916,77.291103,28.65094,77.039746,07:23,443,37,29.148,0.1535,11,1,0.4466,360,06:00,2,1.0
U00039,28.721511,77.229125,28.657414,77.24809,07:45,465,45,7.35,0.0608,4,1,0.5281,398,06:38,6,11.1
U00040,28.609833,76.962779,28.40717,77.047884,09:31,571,65,23.976,0.9481,30,1,0.6,521,08:41,5,3.7
U00041,28.799686,76.91688,28.639745,77.259398,09:19,559,86,37.752,0.9654,10,1,0.7501,468,07:48,3,2.4
U00042,28.736127,77.001279,28.699409,76.891152,07:52,472,60,11.467,0.8917,8,1,0.8454,360,06:00,4,1.9
U00043,28.549936,77.042955,28.716179,77.100887,09:22,562,30,19.298,0.9889,5,1,0.8476,464,07:44,3,1.0
U00044,28.799485,76.96535,28.559427,77.137062,07:22,442,41,31.448,0.8307,28,0,0.6245,400,06:40,1,10.3
U00045,28.786287,77.349435,28.626216,77.294343,07:55,475,69,18.559,0.9322,0,1,0.8272,367,06:07,3,19.8
U00046,28.58599,76.957123,28.705429,76.887747,08:19,499,16,14.883,0.1976,8,1,0.4447,380,06:20,3,5.1
U00047,28.538397,77.263624,28.605587,77.012686,07:43,463,59,25.581,0.2569,10,1,0.4,416,06:56,4,12.1
U00048,28.727598,76.92115,28.861825,77.176268,07:57,477,72,28.959,0.8621,26,1,0.5999,393,06:33,3,7.5
